%SpO2	BPM	Pulse Amplitude	Current time
100	 85	  3	23:13:28
100	 84	  3	23:13:30
100	 83	  3	23:13:32
100	 83	  3	23:13:34
100	 83	  2	23:13:36
100	 84	  2	23:13:38
100	 84	  2	23:13:40
100	 83	  2	23:13:42
100	 83	  2	23:13:44
100	 83	  2	23:13:46
100	 82	  2	23:13:48
100	 82	  2	23:13:50
100	 81	  2	23:13:52
100	 82	  2	23:13:56
100	 81	  2	23:13:58
100	 81	  2	23:14:00
100	 82	  2	23:14:02
100	 84	  2	23:14:04
100	 83	  2	23:14:06
100	 83	  2	23:14:08
100	 85	  2	23:14:10
100	 86	  2	23:14:12
100	 86	  2	23:14:14
100	 87	  2	23:14:16
100	 88	  2	23:14:18
100	 87	  2	23:14:20
100	 88	  2	23:14:22
100	 87	  2	23:14:24
100	 85	  2	23:14:26
100	 84	  2	23:14:28
100	 84	  2	23:14:30
100	 84	  2	23:14:32
100	 83	  2	23:14:34
100	 82	  2	23:14:36
100	 83	  2	23:14:42
100	 83	  2	23:14:44
100	 81	  2	23:14:46
100	 80	  2	23:14:48
100	 80	  2	23:14:50
100	 82	  2	23:14:52
100	 84	  2	23:14:54
100	 84	  2	23:14:56
100	 83	  2	23:14:58
100	 81	  2	23:15:00
100	 83	  2	23:15:02
100	 84	  2	23:15:04
100	 87	  3	23:15:06
100	 89	  3	23:15:08
100	 90	  3	23:15:10
100	 89	  2	23:15:12
100	 91	  2	23:15:14
100	 91	  2	23:15:16
100	 90	  3	23:15:18
100	 86	  3	23:15:20
100	 78	  3	23:15:26
100	 77	  4	23:15:28
100	 77	  3	23:15:30
100	 77	  3	23:15:32
100	 79	  3	23:15:34
100	 81	  2	23:15:36
100	 81	  2	23:15:38
100	 80	  2	23:15:40
100	 81	  2	23:15:42
100	 81	  3	23:15:44
100	 81	  3	23:15:46
100	 80	  3	23:15:48
100	 79	  3	23:15:50
100	 78	  3	23:15:52
100	 78	  3	23:15:54
100	 80	  2	23:15:56
100	 81	  2	23:15:58
100	 80	  3	23:16:00
100	 80	  2	23:16:02
100	 83	  2	23:16:04
100	 85	  3	23:16:10
100	 81	  3	23:16:12
100	 81	  3	23:16:14
100	 81	  2	23:16:16
100	 81	  2	23:16:18
100	 81	  3	23:16:20
100	 79	  3	23:16:22
100	 81	  3	23:16:24
100	 81	  3	23:16:26
100	 80	  3	23:16:28
100	 79	  3	23:16:30
100	 79	  2	23:16:32
100	 82	  2	23:16:34
100	 81	  3	23:16:36
100	 84	  4	23:16:38
100	 87	  2	23:16:40
100	 89	  2	23:16:42
100	 90	  2	23:16:44
100	 89	  2	23:16:46
100	 90	  2	23:16:48
100	 85	  2	23:16:52
100	 86	  2	23:16:54
100	 87	  2	23:16:56
100	 86	  2	23:16:58
100	 83	  2	23:17:00
100	 82	  2	23:17:02
100	 80	  2	23:17:04
100	 79	  3	23:17:06
100	 78	  2	23:17:08
100	 79	  3	23:17:10
100	 79	  3	23:17:12
100	 79	  3	23:17:14
100	 80	  2	23:17:16
100	 81	  2	23:17:18
100	 82	  2	23:17:20
100	 82	  2	23:17:22
100	 80	  2	23:17:24
100	 80	  2	23:17:26
100	 80	  2	23:17:28
100	 80	  2	23:17:30
100	 80	  2	23:17:32
100	 79	  2	23:17:36
100	 81	  3	23:17:38
100	 83	  3	23:17:40
100	 85	  3	23:17:42
100	 85	  2	23:17:44
100	 84	  2	23:17:46
100	 83	  2	23:17:48
100	 84	  2	23:17:50
100	 84	  2	23:17:52
100	 83	  2	23:17:54
100	 81	  3	23:17:56
100	 79	  3	23:17:58
100	 79	  3	23:18:00
100	 80	  3	23:18:02
100	 81	  3	23:18:04
100	 81	  3	23:18:06
